"x" "y" "z"
1 1 1.06962448318061
1.09090909090909 1.29827197595793 1.18672854414049
1.18181818181818 1.65063861758077 1.53185482527912
1.27272727272727 2.06160781367393 1.87236575524044
1.36363636363636 2.53568745304283 2.41509620563483
1.45454545454545 3.07738542449286 2.9101716184989
1.54545454545455 3.69120961682945 3.43569945196116
1.63636363636364 4.381667918858 4.1461464066987
1.72727272727273 5.15326821938392 5.87638087862855
1.81818181818182 6.01051840721262 4.18703417274364
1.90909090909091 6.95792637114951 7.6938643616644
2 8 8.85959957087489
2.09090909090909 9.1412471825695 9.35119489291191
2.18181818181818 10.3861758076634 8.68499311868513
2.27272727272727 11.7392937640871 10.0135271270252
2.36363636363636 13.2051089406461 13.8193089385937
2.45454545454545 14.7881292261458 15.8862130623351
2.54545454545455 16.4928625093914 15.4157190631617
2.63636363636364 18.3238166791886 16.7798664225419
2.72727272727273 20.2854996243426 20.2768887396141
2.81818181818182 22.3824192336589 25.5746476803642
2.90909090909091 24.6190833959429 25.8248531027569
3 27 27.1980477719054
3.09090909090909 29.5296769346356 27.962851487415
3.18181818181818 32.2126220886551 30.7582487210994
3.27272727272727 35.053343350864 36.3310333052974
3.36363636363636 38.0563486100676 32.2330661000675
3.45454545454545 41.2261457550714 43.1793692350681
3.54545454545455 44.5672426746807 45.7852009743226
3.63636363636364 48.084147257701 46.3942049618587
3.72727272727273 51.7813673929376 45.2535223244306
3.81818181818182 55.6634109691961 54.4931745529714
3.90909090909091 59.7347858752817 66.3825117011459
4 64 62.9345222290813
4.09090909090909 68.4635612321563 73.9704523168285
4.18181818181818 73.129977460556 74.605098488358
4.27272727272727 78.0037565740045 87.1644350739775
4.36363636363636 83.0894064613073 90.8506213295636
4.45454545454546 88.3914350112697 78.4125515856245
4.54545454545454 93.9143501126972 95.9163136215828
4.63636363636364 99.6626596543952 105.020466656337
4.72727272727273 105.640871525169 100.824465517965
4.81818181818182 111.853493613824 114.185438057083
4.90909090909091 118.305033809166 118.486498698219
5 125 148.093005456239
5.09090909090909 131.942900075131 151.834549155385
5.18181818181818 139.138241923366 164.610438540458
5.27272727272727 146.590533433509 145.429876294804
5.36363636363636 154.304282494365 177.733815022718
5.45454545454546 162.283996994741 176.6495970376
5.54545454545455 170.534184823441 175.383584941324
5.63636363636364 179.059353869271 169.362767785572
5.72727272727273 187.864012021037 215.775163136764
5.81818181818182 196.952667167543 200.927043126001
5.90909090909091 206.329827197596 187.524731363636
6 216 239.44920355756
6.09090909090909 225.967693463561 221.66747660302
6.18181818181818 236.237415477085 210.666864766798
6.27272727272727 246.813673929376 249.61633201808
6.36363636363636 257.700976709241 213.804796814752
6.45454545454546 268.903831705485 264.845225055151
6.54545454545455 280.426746806912 293.213152756522
6.63636363636364 292.274229902329 255.705588752942
6.72727272727273 304.450788880541 334.755129033688
6.81818181818182 316.960931630353 311.287885302367
6.90909090909091 329.809166040571 317.996702542273
7 343 340.43690452948
7.09090909090909 356.537941397446 358.855282310047
7.18181818181818 370.427498121713 338.136224538968
7.27272727272727 384.673178061608 392.306736192701
7.36363636363636 399.279489105935 455.111594562178
7.45454545454546 414.250939143501 451.19992172407
7.54545454545455 429.592036063111 456.1299564297
7.63636363636364 445.307287753569 459.384463463748
7.72727272727273 461.401202103681 531.52898003705
7.81818181818182 477.878287002254 473.284809413582
7.90909090909091 494.743050338092 543.326080619225
8 512 604.155289219719
8.09090909090909 529.653643876784 376.085466973275
8.18181818181818 547.70848985725 605.681733586575
8.27272727272727 566.169045830203 580.197767190014
8.36363636363636 585.039819684448 598.657993405687
8.45454545454546 604.32531930879 549.741000110792
8.54545454545455 624.030052592036 638.919805362777
8.63636363636364 644.15852742299 622.868870599314
8.72727272727273 664.715251690458 653.743146584247
8.81818181818182 685.704733283246 707.404187252974
8.90909090909091 707.131480090158 727.01950977211
9 729 767.615193008673
9.09090909090909 751.314800901578 666.588139680828
9.18181818181818 774.080390683696 748.208127828947
9.27272727272727 797.301277235162 874.981044187121
9.36363636363636 820.981968444778 857.626450435724
9.45454545454546 845.126972201353 945.016596964701
9.54545454545454 869.740796393689 850.791404816838
9.63636363636364 894.827948910594 879.580896682708
9.72727272727273 920.392937640871 876.656933122986
9.81818181818182 946.440270473328 906.235935445957
9.90909090909091 972.97445529677 860.190813395677
10 1000 782.96087495244
